time,tollgate_id,direction,volume,week,hour,minute,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
2016-09-19 00:00:00,1,0,13,0,0,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:00:00,1,1,140,0,0,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:00:00,2,0,2,0,0,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:00:00,3,0,17,0,0,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:00:00,3,1,181,0,0,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:20:00,1,0,6,0,0,20,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:20:00,1,1,56,0,0,20,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:20:00,3,0,16,0,0,20,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:20:00,3,1,112,0,0,20,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:40:00,1,0,9,0,0,40,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:40:00,1,1,31,0,0,40,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:40:00,3,0,16,0,0,40,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:40:00,3,1,93,0,0,40,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:00:00,1,0,10,0,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:00:00,1,1,4,0,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:00:00,2,0,1,0,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:00:00,3,0,17,0,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:00:00,3,1,4,0,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:20:00,1,0,14,0,1,20,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:20:00,1,1,14,0,1,20,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:20:00,3,0,17,0,1,20,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:20:00,3,1,5,0,1,20,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:40:00,1,0,10,0,1,40,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
