time,tollgate_id,direction,week,hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,count
2016-09-19 00:00:00,1,0,0,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,28
2016-09-19 00:00:00,1,1,0,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,227
2016-09-19 00:00:00,2,0,0,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2
2016-09-19 00:00:00,3,0,0,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,49
2016-09-19 00:00:00,3,1,0,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,386
2016-09-19 01:00:00,1,0,0,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,34
2016-09-19 01:00:00,1,1,0,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,25
2016-09-19 01:00:00,2,0,0,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,3
2016-09-19 01:00:00,3,0,0,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,45
2016-09-19 01:00:00,3,1,0,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,13
2016-09-19 02:00:00,1,0,0,2,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,23
2016-09-19 02:00:00,1,1,0,2,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,24
2016-09-19 02:00:00,3,0,0,2,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,43
2016-09-19 02:00:00,3,1,0,2,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,9
2016-09-19 03:00:00,1,0,0,3,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,22
2016-09-19 03:00:00,1,1,0,3,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,44
2016-09-19 03:00:00,3,0,0,3,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,29
2016-09-19 03:00:00,3,1,0,3,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,18
2016-09-19 04:00:00,1,0,0,4,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,35
2016-09-19 04:00:00,1,1,0,4,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,58
2016-09-19 04:00:00,3,0,0,4,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,29
2016-09-19 04:00:00,3,1,0,4,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,14
